TimestampMS,C2P_RTT_ms, C2P_RTTVAR_ms, C2P_Retrans, C2P_CWND, C2P_SSTHRESH, C2P_Throughput_kbps, C2P_Goodput_kbps,P2S_RTT_ms, P2S_RTTVAR_ms, P2S_Retrans, P2S_CWND, P2S_SSTHRESH, P2S_Throughput_kbps, P2S_Goodput_kbps
1764203631525,0.195,0.049,0,10,2147483647,1367.928,1367.928,0.244,0.115,0,10,2147483647,1367.928,1367.928
1764203634525,0.197,0.009,0,10,2147483647,1383.912,1383.912,0.194,0.032,0,10,2147483647,1383.912,1383.912
1764203637525,0.182,0.013,0,10,2147483647,1376.784,1376.784,0.214,0.026,0,10,2147483647,1376.568,1376.568
1764203640525,0.196,0.004,0,10,2147483647,1416.960,1416.960,0.350,0.286,0,10,2147483647,1417.176,1417.176
