TimestampMS,C2P_RTT_ms, C2P_RTTVAR_ms, C2P_Retrans, C2P_CWND, C2P_SSTHRESH, C2P_Throughput_kbps, C2P_Goodput_kbps,P2S_RTT_ms, P2S_RTTVAR_ms, P2S_Retrans, P2S_CWND, P2S_SSTHRESH, P2S_Throughput_kbps, P2S_Goodput_kbps
1764203854484,1.199,0.307,0,10,2147483647,3.153,3.153,204.026,2.604,0,10,2147483647,3.153,3.153
1764203857567,1.189,0.201,0,10,2147483647,3.153,3.153,204.012,1.142,0,10,2147483647,3.153,3.153
1764203860653,1.300,0.306,0,10,2147483647,3.150,3.150,204.156,0.780,0,10,2147483647,3.150,3.150
1764203863727,1.213,0.216,0,10,2147483647,3.162,3.162,203.218,0.894,0,10,2147483647,3.162,3.162
1764203866809,1.284,0.301,0,10,2147483647,3.154,3.154,203.801,1.030,0,10,2147483647,3.154,3.154
