TimestampMS,C2P_RTT_ms, C2P_RTTVAR_ms, C2P_Retrans, C2P_CWND, C2P_SSTHRESH, C2P_Throughput_kbps, C2P_Goodput_kbps,P2S_RTT_ms, P2S_RTTVAR_ms, P2S_Retrans, P2S_CWND, P2S_SSTHRESH, P2S_Throughput_kbps, P2S_Goodput_kbps
1764203802741,1.089,0.259,0,10,2147483647,3.148,3.148,204.164,1.940,0,10,2147483647,3.148,3.148
1764203805818,1.200,0.287,0,10,2147483647,3.159,3.159,203.427,0.606,0,10,2147483647,3.159,3.159
1764203808900,1.732,0.832,0,10,2147483647,3.154,3.154,203.511,0.952,0,10,2147483647,3.154,3.154
