TimestampMS,C2P_RTT_ms, C2P_RTTVAR_ms, C2P_Retrans, C2P_CWND, C2P_SSTHRESH, C2P_Throughput_kbps, C2P_Goodput_kbps,P2S_RTT_ms, P2S_RTTVAR_ms, P2S_Retrans, P2S_CWND, P2S_SSTHRESH, P2S_Throughput_kbps, P2S_Goodput_kbps
1764200036151,0.891,0.445,0,10,2147483647,0.000,0.000,2.059,1.029,0,10,2147483647,0.000,0.000
1764200039153,0.891,0.445,0,10,2147483647,0.000,0.000,2.059,1.029,0,10,2147483647,0.000,0.000
1764200042859,0.832,0.446,0,10,2147483647,0.175,0.175,1.879,1.042,0,10,2147483647,0.175,0.175
1764200045865,0.832,0.446,0,10,2147483647,0.000,0.000,1.879,1.042,0,10,2147483647,0.000,0.000
1764200050444,0.811,0.378,0,10,2147483647,0.283,0.283,1.789,0.960,0,10,2147483647,0.142,0.142
1764200054402,0.770,0.280,0,10,2147483647,0.327,0.327,1.655,0.764,0,10,2147483647,0.327,0.327
1764200058099,0.690,0.215,0,10,2147483647,0.526,0.526,1.428,0.644,0,10,2147483647,0.526,0.526
