TimestampMS,C2P_RTT_ms, C2P_RTTVAR_ms, C2P_Retrans, C2P_CWND, C2P_SSTHRESH, C2P_Throughput_kbps, C2P_Goodput_kbps,P2S_RTT_ms, P2S_RTTVAR_ms, P2S_Retrans, P2S_CWND, P2S_SSTHRESH, P2S_Throughput_kbps, P2S_Goodput_kbps
1764204022962,0.720,0.249,0,10,2147483647,4.929,4.929,116.368,60.618,0,10,2147483647,4.929,4.929
1764204025988,0.839,0.294,0,10,2147483647,4.925,4.925,121.510,41.473,0,7,7,4.925,4.925
1764204029023,0.790,0.319,0,10,2147483647,6.192,6.192,107.216,25.851,0,7,7,6.192,6.192
1764204032039,0.934,0.309,0,10,2147483647,4.727,4.727,142.452,96.444,0,7,7,4.727,4.727
