TimestampMS,C2P_RTT_ms, C2P_RTTVAR_ms, C2P_Retrans, C2P_CWND, C2P_SSTHRESH, C2P_Throughput_kbps, C2P_Goodput_kbps,P2S_RTT_ms, P2S_RTTVAR_ms, P2S_Retrans, P2S_CWND, P2S_SSTHRESH, P2S_Throughput_kbps, P2S_Goodput_kbps
1764202706237,3.229,1.614,0,10,2147483647,0.000,0.000,100.934,50.467,0,10,2147483647,0.000,0.000
1764202709828,2.878,1.651,0,10,2147483647,0.180,0.180,101.054,38.091,0,10,2147483647,0.180,0.180
1764202713169,1.848,1.698,0,10,2147483647,0.970,0.970,102.234,13.436,0,10,2147483647,0.776,0.776
1764202716297,0.955,0.993,0,10,2147483647,1.450,1.450,103.366,3.007,0,10,2147483647,1.450,1.450
