TimestampMS,C2P_RTT_ms, C2P_RTTVAR_ms, C2P_Retrans, C2P_CWND, C2P_SSTHRESH, C2P_Throughput_kbps, C2P_Goodput_kbps,P2S_RTT_ms, P2S_RTTVAR_ms, P2S_Retrans, P2S_CWND, P2S_SSTHRESH, P2S_Throughput_kbps, P2S_Goodput_kbps
1764202961237,0.845,0.422,0,10,2147483647,0.000,0.000,0.917,0.458,0,10,2147483647,0.000,0.000
1764202964241,0.845,0.422,0,10,2147483647,0.000,0.000,0.917,0.458,0,10,2147483647,0.000,0.000
1764202968188,0.810,0.221,0,10,2147483647,0.657,0.657,1.042,0.431,0,10,2147483647,0.493,0.493
1764202971240,0.485,0.231,0,10,2147483647,2.123,2.123,0.731,0.241,0,10,2147483647,2.123,2.123
