TimestampMS,C2P_RTT_ms, C2P_RTTVAR_ms, C2P_Retrans, C2P_CWND, C2P_SSTHRESH, C2P_Throughput_kbps, C2P_Goodput_kbps,P2S_RTT_ms, P2S_RTTVAR_ms, P2S_Retrans, P2S_CWND, P2S_SSTHRESH, P2S_Throughput_kbps, P2S_Goodput_kbps
1764203098491,0.335,0.138,0,10,2147483647,0.108,0.108,54.449,21.127,0,10,2147483647,0.108,0.108
1764203102288,0.332,0.065,0,10,2147483647,0.853,0.853,53.366,8.062,0,10,2147483647,0.683,0.683
1764203105630,0.346,0.080,0,10,2147483647,0.969,0.969,78.505,54.412,0,10,2147483647,0.969,0.969
