TimestampMS,C2P_RTT_ms, C2P_RTTVAR_ms, C2P_Retrans, C2P_CWND, C2P_SSTHRESH, C2P_Throughput_kbps, C2P_Goodput_kbps,P2S_RTT_ms, P2S_RTTVAR_ms, P2S_Retrans, P2S_CWND, P2S_SSTHRESH, P2S_Throughput_kbps, P2S_Goodput_kbps
1764202836354,0.852,0.426,0,10,2147483647,0.000,0.000,101.386,50.693,0,10,2147483647,0.000,0.000
1764202839717,0.706,0.381,0,10,2147483647,0.771,0.771,102.561,23.234,0,10,2147483647,0.578,0.578
1764202843150,0.554,0.216,0,10,2147483647,1.133,1.133,103.189,5.570,0,10,2147483647,1.133,1.133
